20:09:34 web.1  | started with pid 28351
20:12:26 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:26] "GET /js/bootstrap-scrollspy.js HTTP/1.1" 304 - 0.0009
20:12:26 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:26] "GET /js/bootstrap-dropdown.js HTTP/1.1" 304 - 0.0040
20:12:26 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:26] "GET /js/bootstrap-popover.js HTTP/1.1" 304 - 0.0008
20:12:29 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:29] "GET /favicon.ico HTTP/1.1" 404 450 0.0087
20:12:48 web.1  | 172.16.22.63 - - [26/Aug/2012 20:12:48] "GET /favicon.ico HTTP/1.1" 404 450 0.0007
22:42:57 web.1  | 172.16.22.63 - - [26/Aug/2012 22:42:57] "GET /email/ HTTP/1.1" 404 445 0.0016
22:42:57 web.1  | NoMethodError - undefined method `list' for nil:NilClass:
22:42:57 web.1  | 	/root/GDash/gdash/lib/gdash/sinatra_app.rb:128:in `block in <class:SinatraApp>'
22:42:57 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/sinatra-1.3.2/lib/sinatra/base.rb:1212:in `call'
22:42:57 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/sinatra-1.3.2/lib/sinatra/base.rb:1212:in `block in compile!'
22:42:57 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/sinatra-1.3.2/lib/sinatra/base.rb:785:in `[]'
22:42:57 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/sinatra-1.3.2/lib/sinatra/base.rb:785:in `block (3 levels) in route!'
22:42:57 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/sinatra-1.3.2/lib/sinatra/base.rb:801:in `route_eval'
22:42:57 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/sinatra-1.3.2/lib/sinatra/base.rb:785:in `block (2 levels) in route!'
22:42:57 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/sinatra-1.3.2/lib/sinatra/base.rb:822:in `block in process_route'
22:42:57 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/sinatra-1.3.2/lib/sinatra/base.rb:820:in `catch'
22:42:57 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/sinatra-1.3.2/lib/sinatra/base.rb:820:in `process_route'
22:42:57 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/sinatra-1.3.2/lib/sinatra/base.rb:784:in `block in route!'
22:42:57 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/sinatra-1.3.2/lib/sinatra/base.rb:783:in `each'
22:42:57 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/sinatra-1.3.2/lib/sinatra/base.rb:783:in `route!'
22:42:57 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/sinatra-1.3.2/lib/sinatra/base.rb:886:in `dispatch!'
22:42:57 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/sinatra-1.3.2/lib/sinatra/base.rb:719:in `block in call!'
22:42:57 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/sinatra-1.3.2/lib/sinatra/base.rb:871:in `block in invoke'
22:42:57 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/sinatra-1.3.2/lib/sinatra/base.rb:871:in `catch'
22:42:57 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/sinatra-1.3.2/lib/sinatra/base.rb:871:in `invoke'
22:42:57 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/sinatra-1.3.2/lib/sinatra/base.rb:719:in `call!'
22:42:57 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/sinatra-1.3.2/lib/sinatra/base.rb:705:in `call'
22:42:57 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/rack-protection-1.2.0/lib/rack/protection/xss_header.rb:22:in `call'
22:42:57 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/rack-protection-1.2.0/lib/rack/protection/path_traversal.rb:16:in `call'
22:42:57 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/rack-protection-1.2.0/lib/rack/protection/json_csrf.rb:17:in `call'
22:42:57 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/rack-protection-1.2.0/lib/rack/protection/base.rb:47:in `call'
22:42:57 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/rack-protection-1.2.0/lib/rack/protection/xss_header.rb:22:in `call'
22:42:57 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/rack-1.4.1/lib/rack/nulllogger.rb:9:in `call'
22:42:57 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/rack-1.4.1/lib/rack/head.rb:9:in `call'
22:42:57 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/sinatra-1.3.2/lib/sinatra/showexceptions.rb:21:in `call'
22:42:57 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/rack-1.4.1/lib/rack/lint.rb:48:in `_call'
22:42:57 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/rack-1.4.1/lib/rack/lint.rb:36:in `call'
22:42:57 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/rack-1.4.1/lib/rack/showexceptions.rb:24:in `call'
22:42:57 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/rack-1.4.1/lib/rack/commonlogger.rb:20:in `call'
22:42:57 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/rack-1.4.1/lib/rack/chunked.rb:43:in `call'
22:42:57 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/rack-1.4.1/lib/rack/content_length.rb:14:in `call'
22:42:57 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/rack-1.4.1/lib/rack/handler/webrick.rb:59:in `service'
22:42:57 web.1  | 	/usr/lib64/ruby/1.9.1/webrick/httpserver.rb:111:in `service'
22:42:57 web.1  | 	/usr/lib64/ruby/1.9.1/webrick/httpserver.rb:70:in `run'
22:42:57 web.1  | 	/usr/lib64/ruby/1.9.1/webrick/server.rb:183:in `block in start_thread'
22:42:57 web.1  | 172.16.22.63 - - [26/Aug/2012 22:42:57] "GET /__sinatra__/404.png HTTP/1.1" 500 113107 0.2488
22:42:57 web.1  | 172.16.22.63 - - [26/Aug/2012 22:42:57] "GET /favicon.ico HTTP/1.1" 404 450 0.0015
22:57:33 web.1  | 172.16.22.63 - - [26/Aug/2012 22:57:33] "GET /email/ HTTP/1.1" 404 445 0.0113
22:57:33 web.1  | NoMethodError - undefined method `list' for nil:NilClass:
22:57:33 web.1  | 	/root/GDash/gdash/lib/gdash/sinatra_app.rb:128:in `block in <class:SinatraApp>'
22:57:33 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/sinatra-1.3.2/lib/sinatra/base.rb:1212:in `call'
22:57:33 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/sinatra-1.3.2/lib/sinatra/base.rb:1212:in `block in compile!'
22:57:33 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/sinatra-1.3.2/lib/sinatra/base.rb:785:in `[]'
22:57:33 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/sinatra-1.3.2/lib/sinatra/base.rb:785:in `block (3 levels) in route!'
22:57:33 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/sinatra-1.3.2/lib/sinatra/base.rb:801:in `route_eval'
22:57:33 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/sinatra-1.3.2/lib/sinatra/base.rb:785:in `block (2 levels) in route!'
22:57:33 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/sinatra-1.3.2/lib/sinatra/base.rb:822:in `block in process_route'
22:57:33 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/sinatra-1.3.2/lib/sinatra/base.rb:820:in `catch'
22:57:33 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/sinatra-1.3.2/lib/sinatra/base.rb:820:in `process_route'
22:57:33 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/sinatra-1.3.2/lib/sinatra/base.rb:784:in `block in route!'
22:57:33 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/sinatra-1.3.2/lib/sinatra/base.rb:783:in `each'
22:57:33 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/sinatra-1.3.2/lib/sinatra/base.rb:783:in `route!'
22:57:33 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/sinatra-1.3.2/lib/sinatra/base.rb:886:in `dispatch!'
22:57:33 web.1  | 	/usr/lib64/ruby/gems/1.9.1/gems/sinatra-1.3.2/lib/sinatra/base.rb:719:in `block in call!'
